,REGION,DEPARTEMENT,MARCHE,DATE,MIL_DETAIL,RIZ_IMP_BR ORD.
2841,ZG,ZIGUINCHOR,ST.MAUR,13-Oct-05,250,230.0
2842,DL,MBACKE,TOUBA,14-Oct-05,150,200.0
2843,KD,KOLDA,KOLDA,17-Oct-05,300,250.0
2844,FK,FATICK,FATICK,19-Oct-05,150,210.0
2845,DK,PIKINE,THIAROYE,19-Oct-05,175,225.0
2846,DK,DAKAR,TILENE,19-Oct-05,175,225.0
2847,DL,DIOURBEL,DIOURBEL,20-Oct-05,140,200.0
2848,KL,KAOLACK,KAOLACK,20-Oct-05,120,215.0
2849,LG,LOUGA,LOUGA,20-Oct-05,230,240.0
2850,SL,ST.LOUIS,ST.LOUIS,20-Oct-05,220,225.0
2851,ZG,ZIGUINCHOR,ST.MAUR,20-Oct-05,250,230.0
2852,DL,MBACKE,TOUBA,04-Nov-05,130,200.0
2853,FK,FATICK,FATICK,08-Nov-05,140,210.0
2854,SL,ST.LOUIS,ST.LOUIS,08-Nov-05,200,225.0
2855,DK,PIKINE,THIAROYE,09-Nov-05,175,225.0
2856,DK,DAKAR,TILENE,09-Nov-05,175,225.0
2857,DL,DIOURBEL,DIOURBEL,10-Nov-05,125,200.0
2858,LG,LOUGA,LOUGA,10-Nov-05,175,200.0
2859,DL,MBACKE,TOUBA,11-Nov-05,125,200.0
2860,KD,KOLDA,KOLDA,14-Nov-05,175,250.0
2861,FK,FATICK,FATICK,16-Nov-05,140,210.0
2862,DK,PIKINE,THIAROYE,16-Nov-05,160,225.0
2863,DK,DAKAR,TILENE,16-Nov-05,160,225.0
2864,SL,ST.LOUIS,ST.LOUIS,16-Nov-05,200,225.0
2865,KD,VELINGARA,DIAOBE,16-Nov-05,200,225.0
2866,DL,DIOURBEL,DIOURBEL,17-Nov-05,125,200.0
2867,KL,KAOLACK,KAOLACK,17-Nov-05,125,215.0
2868,DL,MBACKE,TOUBA,25-Nov-05,125,200.0
2869,FK,FATICK,FATICK,29-Nov-05,130,210.0
2870,KD,KOLDA,KOLDA,29-Nov-05,200,250.0
2871,SL,ST.LOUIS,ST.LOUIS,29-Nov-05,160,225.0
2872,DK,PIKINE,THIAROYE,30-Nov-05,150,225.0
2873,TH,THIES,THIES,30-Nov-05,175,225.0
2874,DK,DAKAR,TILENE,30-Nov-05,150,225.0
2875,KD,VELINGARA,DIAOBE,30-Nov-05,200,225.0
2876,DL,DIOURBEL,DIOURBEL,01-Dec-05,125,200.0
2877,KL,KAOLACK,KAOLACK,01-Dec-05,125,225.0
2878,LG,LOUGA,LOUGA,01-Dec-05,160,240.0
2879,ZG,ZIGUINCHOR,ST.MAUR,01-Dec-05,170,235.0
2880,DL,MBACKE,TOUBA,02-Dec-05,120,200.0
2881,FK,FATICK,FATICK,04-Dec-05,130,210.0
2882,DK,PIKINE,THIAROYE,07-Dec-05,150,225.0
2883,DK,DAKAR,TILENE,07-Dec-05,150,225.0
2884,SL,ST.LOUIS,ST.LOUIS,07-Dec-05,160,225.0
2885,DL,DIOURBEL,DIOURBEL,08-Dec-05,125,200.0
2886,KL,KAOLACK,KAOLACK,08-Dec-05,125,225.0
2887,LG,LOUGA,LOUGA,08-Dec-05,160,240.0
2888,ZG,ZIGUINCHOR,ST.MAUR,08-Dec-05,150,210.0
2889,DL,MBACKE,TOUBA,09-Dec-05,125,200.0
2890,FK,FATICK,FATICK,11-Dec-05,175,215.0
2891,DK,PIKINE,THIAROYE,14-Dec-05,150,225.0
2892,DK,DAKAR,TILENE,14-Dec-05,150,225.0
2893,DL,DIOURBEL,DIOURBEL,15-Dec-05,125,200.0
2894,KL,KAOLACK,KAOLACK,15-Dec-05,125,225.0
2895,LG,LOUGA,LOUGA,15-Dec-05,165,240.0
2896,ZG,ZIGUINCHOR,ST.MAUR,15-Dec-05,155,235.0
2897,DL,MBACKE,TOUBA,16-Dec-05,130,200.0
2898,FK,FATICK,FATICK,19-Dec-05,160,225.0
2899,DK,PIKINE,THIAROYE,21-Dec-05,150,225.0
2900,DK,DAKAR,TILENE,21-Dec-05,150,225.0
2901,DL,DIOURBEL,DIOURBEL,22-Dec-05,125,200.0
2902,KL,KAOLACK,KAOLACK,22-Dec-05,125,225.0
2903,LG,LOUGA,LOUGA,22-Dec-05,165,240.0
2904,TH,THIES,THIES,22-Dec-05,175,200.0
2905,SL,ST.LOUIS,ST.LOUIS,22-Dec-05,175,210.0
2906,DL,MBACKE,TOUBA,23-Dec-05,125,200.0
2907,TC,BAKEL,BAKEL,27-Dec-05,125,225.0
2908,DK,PIKINE,THIAROYE,28-Dec-05,150,225.0
2909,DK,DAKAR,TILENE,28-Dec-05,150,225.0
2910,SL,ST.LOUIS,ST.LOUIS,28-Dec-05,175,210.0
2911,DL,DIOURBEL,DIOURBEL,29-Dec-05,125,200.0
2912,FK,FATICK,FATICK,29-Dec-05,150,215.0
2913,KL,KAOLACK,KAOLACK,29-Dec-05,120,225.0
2914,LG,LOUGA,LOUGA,29-Dec-05,160,240.0
2915,TH,THIES,THIES,29-Dec-05,175,200.0
2916,ZG,ZIGUINCHOR,ST.MAUR,29-Dec-05,165,235.0
2917,DL,DIOURBEL,DIOURBEL,06-Jan-06,145,200.0
2918,DL,MBACKE,TOUBA,06-Jan-06,125,200.0
2919,FK,FATICK,FATICK,08-Jan-06,120,210.0
2920,DL,DIOURBEL,DIOURBEL,12-Jan-06,125,200.0
2921,KL,KAOLACK,KAOLACK,12-Jan-06,120,225.0
2922,DK,PIKINE,THIAROYE,12-Jan-06,150,225.0
2923,TH,THIES,THIES,12-Jan-06,130,200.0
2924,DK,DAKAR,TILENE,12-Jan-06,150,225.0
2925,DL,MBACKE,TOUBA,13-Jan-06,125,200.0
2926,KD,VELINGARA,DIAOBE,16-Jan-06,150,250.0
2927,KD,KOLDA,KOLDA,17-Jan-06,175,250.0
2928,FK,FATICK,FATICK,18-Jan-06,120,210.0
2929,DK,PIKINE,THIAROYE,18-Jan-06,150,225.0
2930,DK,DAKAR,TILENE,18-Jan-06,150,225.0
2931,DL,DIOURBEL,DIOURBEL,19-Jan-06,125,200.0
2932,KL,KAOLACK,KAOLACK,19-Jan-06,120,225.0
2933,LG,LOUGA,LOUGA,19-Jan-06,155,240.0
2934,TH,THIES,THIES,19-Jan-06,165,200.0
2935,SL,ST.LOUIS,ST.LOUIS,19-Jan-06,160,220.0
2936,ZG,ZIGUINCHOR,ST.MAUR,19-Jan-06,170,235.0
2937,TC,BAKEL,BAKEL,20-Jan-06,200,225.0
2938,DL,MBACKE,TOUBA,20-Jan-06,125,200.0
2939,KD,KOLDA,KOLDA,23-Jan-06,250,220.0
2940,FK,FATICK,FATICK,25-Jan-06,120,225.0
2941,DK,PIKINE,THIAROYE,25-Jan-06,150,225.0
2942,DK,DAKAR,TILENE,25-Jan-06,150,225.0
2943,DL,DIOURBEL,DIOURBEL,26-Jan-06,125,200.0
2944,KL,KAOLACK,KAOLACK,26-Jan-06,120,225.0
2945,LG,LOUGA,LOUGA,26-Jan-06,165,240.0
2946,TH,THIES,THIES,26-Jan-06,150,200.0
2947,SL,ST.LOUIS,ST.LOUIS,26-Jan-06,150,220.0
2948,ZG,ZIGUINCHOR,ST.MAUR,26-Jan-06,170,235.0
2949,DL,MBACKE,TOUBA,27-Jan-06,130,200.0
2950,FK,FATICK,FATICK,31-Jan-06,140,210.0
2951,DK,PIKINE,THIAROYE,01-Feb-06,150,225.0
2952,DK,DAKAR,TILENE,01-Feb-06,150,225.0
2953,TC,BAKEL,BAKEL,02-Feb-06,200,225.0
2954,DL,DIOURBEL,DIOURBEL,02-Feb-06,135,200.0
2955,KL,KAOLACK,KAOLACK,02-Feb-06,130,225.0
2956,TH,THIES,THIES,02-Feb-06,150,200.0
2957,LG,LOUGA,LOUGA,03-Feb-06,160,240.0
2958,DL,MBACKE,TOUBA,03-Feb-06,130,200.0
2959,FK,FATICK,FATICK,05-Feb-06,140,210.0
2960,TC,BAKEL,BAKEL,06-Feb-06,225,230.0
2961,KD,KOLDA,KOLDA,06-Feb-06,150,220.0
2962,KL,KAOLACK,KAOLACK,08-Feb-06,130,225.0
2963,DK,PIKINE,THIAROYE,08-Feb-06,150,225.0
2964,DK,DAKAR,TILENE,08-Feb-06,150,225.0
2965,DL,DIOURBEL,DIOURBEL,09-Feb-06,135,200.0
2966,TH,THIES,THIES,09-Feb-06,145,200.0
2967,TH,THIES,THIES,09-Feb-06,145,200.0
2968,DL,MBACKE,TOUBA,10-Feb-06,135,200.0
2969,FK,FATICK,FATICK,12-Feb-06,160,210.0
2970,KD,KOLDA,KOLDA,13-Feb-06,200,225.0
2971,DK,PIKINE,THIAROYE,15-Feb-06,150,225.0
2972,DK,DAKAR,TILENE,15-Feb-06,150,225.0
2973,DL,DIOURBEL,DIOURBEL,16-Feb-06,135,200.0
2974,KL,KAOLACK,KAOLACK,16-Feb-06,130,225.0
2975,LG,LOUGA,LOUGA,16-Feb-06,160,240.0
2976,SL,ST.LOUIS,ST.LOUIS,16-Feb-06,190,200.0
2977,DL,MBACKE,TOUBA,17-Feb-06,130,200.0
2978,FK,FATICK,FATICK,19-Feb-06,160,210.0
2979,DL,DIOURBEL,DIOURBEL,21-Feb-06,130,200.0
2980,DK,PIKINE,THIAROYE,22-Feb-06,150,225.0
2981,DK,DAKAR,TILENE,22-Feb-06,150,225.0
2982,SL,ST.LOUIS,ST.LOUIS,22-Feb-06,190,200.0
2983,DL,DIOURBEL,DIOURBEL,23-Feb-06,130,200.0
2984,KL,KAOLACK,KAOLACK,23-Feb-06,130,225.0
2985,LG,LOUGA,LOUGA,23-Feb-06,150,240.0
2986,TH,THIES,THIES,23-Feb-06,155,200.0
2987,ZG,ZIGUINCHOR,ST.MAUR,23-Feb-06,170,235.0
2988,DL,MBACKE,TOUBA,24-Feb-06,125,200.0
2989,FK,FATICK,FATICK,26-Feb-06,150,210.0
2990,DK,PIKINE,THIAROYE,01-Mar-06,150,225.0
2991,DK,DAKAR,TILENE,01-Mar-06,150,225.0
2992,KL,KAOLACK,KAOLACK,02-Mar-06,130,225.0
2993,KD,KOLDA,KOLDA,02-Mar-06,225,220.0
2994,LG,LOUGA,LOUGA,02-Mar-06,160,225.0
2995,ZG,ZIGUINCHOR,ST.MAUR,02-Mar-06,170,235.0
2996,FK,FATICK,FATICK,05-Mar-06,130,225.0
2997,SL,ST.LOUIS,ST.LOUIS,07-Mar-06,190,200.0
2998,DK,PIKINE,THIAROYE,08-Mar-06,150,225.0
2999,DK,DAKAR,TILENE,08-Mar-06,150,225.0
3000,KD,VELINGARA,DIAOBE,08-Mar-06,200,220.0
3001,KL,KAOLACK,KAOLACK,09-Mar-06,130,225.0
3002,LG,LOUGA,LOUGA,09-Mar-06,160,240.0
3003,TH,THIES,THIES,09-Mar-06,155,200.0
3004,ZG,ZIGUINCHOR,ST.MAUR,09-Mar-06,175,235.0
3005,DL,MBACKE,TOUBA,10-Mar-06,135,200.0
3006,FK,FATICK,FATICK,12-Mar-06,130,210.0
3007,LG,LOUGA,LOUGA,13-Mar-06,165,240.0
3008,DK,PIKINE,THIAROYE,15-Mar-06,150,225.0
3009,DK,DAKAR,TILENE,15-Mar-06,150,225.0
3010,SL,ST.LOUIS,ST.LOUIS,15-Mar-06,170,200.0
3011,DL,DIOURBEL,DIOURBEL,16-Mar-06,135,200.0
3012,KL,KAOLACK,KAOLACK,16-Mar-06,130,225.0
3013,KD,KOLDA,KOLDA,16-Mar-06,175,200.0
3014,LG,LOUGA,LOUGA,16-Mar-06,155,200.0
3015,ZG,ZIGUINCHOR,ST.MAUR,16-Mar-06,175,240.0
3016,ZG,ZIGUINCHOR,ST.MAUR,16-Mar-06,175,240.0
3017,ZG,ZIGUINCHOR,ST.MAUR,16-Mar-06,175,240.0
3018,DL,MBACKE,TOUBA,17-Mar-06,135,200.0
3019,TC,BAKEL,BAKEL,20-Mar-06,200,230.0
3020,FK,FATICK,FATICK,20-Mar-06,140,210.0
3021,DK,PIKINE,THIAROYE,22-Mar-06,150,225.0
3022,DK,DAKAR,TILENE,22-Mar-06,150,225.0
3023,DL,DIOURBEL,DIOURBEL,23-Mar-06,135,200.0
3024,KL,KAOLACK,KAOLACK,23-Mar-06,130,225.0
3025,KD,KOLDA,KOLDA,23-Mar-06,175,250.0
3026,LG,LOUGA,LOUGA,23-Mar-06,155,240.0
3027,TH,THIES,THIES,23-Mar-06,160,200.0
3028,ZG,ZIGUINCHOR,ST.MAUR,23-Mar-06,175,235.0
3029,DL,MBACKE,TOUBA,24-Mar-06,140,200.0
3030,SL,ST.LOUIS,ST.LOUIS,28-Mar-06,165,220.0
3031,FK,FATICK,FATICK,29-Mar-06,140,210.0
3032,DK,PIKINE,THIAROYE,29-Mar-06,155,225.0
3033,DK,DAKAR,TILENE,29-Mar-06,155,225.0
3034,DL,DIOURBEL,DIOURBEL,30-Mar-06,145,200.0
3035,KL,KAOLACK,KAOLACK,30-Mar-06,130,225.0
3036,TH,THIES,THIES,30-Mar-06,160,200.0
3037,ZG,ZIGUINCHOR,ST.MAUR,30-Mar-06,175,240.0
3038,DL,MBACKE,TOUBA,31-Mar-06,145,200.0
3039,DL,MBACKE,TOUBA,31-Mar-06,140,200.0
3040,FK,FATICK,FATICK,02-Apr-06,140,225.0
3041,KD,KOLDA,KOLDA,03-Apr-06,200,250.0
3042,DK,PIKINE,THIAROYE,05-Apr-06,160,225.0
3043,DK,DAKAR,TILENE,05-Apr-06,160,225.0
3044,DL,DIOURBEL,DIOURBEL,06-Apr-06,145,200.0
3045,KL,KAOLACK,KAOLACK,06-Apr-06,130,225.0
3046,TH,THIES,THIES,06-Apr-06,160,200.0
3047,ZG,ZIGUINCHOR,ST.MAUR,06-Apr-06,175,240.0
3048,TH,THIES,THIES,11-Apr-06,165,200.0
3049,KD,KOLDA,KOLDA,12-Apr-06,225,250.0
3050,DK,PIKINE,THIAROYE,12-Apr-06,160,225.0
3051,DK,DAKAR,TILENE,12-Apr-06,160,225.0
3052,KL,KAOLACK,KAOLACK,13-Apr-06,130,225.0
3053,SL,ST.LOUIS,ST.LOUIS,13-Apr-06,160,220.0
3054,DL,MBACKE,TOUBA,14-Apr-06,150,200.0
3055,FK,FATICK,FATICK,16-Apr-06,150,210.0
3056,KD,KOLDA,KOLDA,18-Apr-06,175,220.0
3057,DK,PIKINE,THIAROYE,19-Apr-06,160,225.0
3058,DK,DAKAR,TILENE,19-Apr-06,160,225.0
3059,SL,ST.LOUIS,ST.LOUIS,19-Apr-06,170,220.0
3060,DL,DIOURBEL,DIOURBEL,20-Apr-06,155,200.0
3061,KL,KAOLACK,KAOLACK,20-Apr-06,130,225.0
3062,LG,LOUGA,LOUGA,20-Apr-06,165,240.0
3063,TH,THIES,THIES,20-Apr-06,165,200.0
3064,DL,MBACKE,TOUBA,21-Apr-06,160,200.0
3065,FK,FATICK,FATICK,23-Apr-06,160,225.0
3066,DK,PIKINE,THIAROYE,26-Apr-06,160,225.0
3067,DK,PIKINE,THIAROYE,26-Apr-06,160,225.0
3068,DK,DAKAR,TILENE,26-Apr-06,160,225.0
3069,DK,DAKAR,TILENE,26-Apr-06,160,225.0
3070,DL,DIOURBEL,DIOURBEL,27-Apr-06,160,200.0
3071,KL,KAOLACK,KAOLACK,27-Apr-06,130,225.0
3072,LG,LOUGA,LOUGA,27-Apr-06,160,240.0
3073,DL,MBACKE,TOUBA,28-Apr-06,160,200.0
3074,SL,ST.LOUIS,ST.LOUIS,28-Apr-06,160,220.0
3075,DL,DIOURBEL,DIOURBEL,04-May-06,165,200.0
3076,KL,KAOLACK,KAOLACK,04-May-06,135,225.0
3077,LG,LOUGA,LOUGA,04-May-06,160,240.0
3078,TH,THIES,THIES,04-May-06,165,300.0
3079,ZG,ZIGUINCHOR,ST.MAUR,04-May-06,180,240.0
3080,DL,MBACKE,TOUBA,05-May-06,160,200.0
3081,FK,FATICK,FATICK,07-May-06,165,225.0
3082,KD,KOLDA,KOLDA,08-May-06,175,250.0
3083,DK,PIKINE,THIAROYE,09-May-06,160,225.0
3084,DK,DAKAR,TILENE,09-May-06,160,225.0
3085,SL,ST.LOUIS,ST.LOUIS,10-May-06,200,220.0
3086,KD,VELINGARA,DIAOBE,10-May-06,200,250.0
3087,DL,DIOURBEL,DIOURBEL,11-May-06,165,200.0
3088,KL,KAOLACK,KAOLACK,11-May-06,135,225.0
3089,LG,LOUGA,LOUGA,11-May-06,160,240.0
3090,ZG,ZIGUINCHOR,ST.MAUR,11-May-06,185,240.0
3091,KD,KOLDA,KOLDA,12-May-06,200,220.0
3092,DL,MBACKE,TOUBA,12-May-06,160,200.0
3093,FK,FATICK,FATICK,14-May-06,165,210.0
3094,DK,PIKINE,THIAROYE,16-May-06,160,225.0
3095,DK,DAKAR,TILENE,16-May-06,160,225.0
3096,SL,ST.LOUIS,ST.LOUIS,17-May-06,175,220.0
3097,DL,DIOURBEL,DIOURBEL,18-May-06,165,200.0
3098,KL,KAOLACK,KAOLACK,18-May-06,135,225.0
3099,LG,LOUGA,LOUGA,18-May-06,160,200.0
3100,ZG,ZIGUINCHOR,ST.MAUR,18-May-06,175,235.0
3101,DL,MBACKE,TOUBA,19-May-06,160,200.0
3102,FK,FATICK,FATICK,21-May-06,165,210.0
3103,TC,BAKEL,BAKEL,23-May-06,200,200.0
3104,KD,KOLDA,KOLDA,23-May-06,185,220.0
3105,DK,PIKINE,THIAROYE,23-May-06,175,225.0
3106,DK,DAKAR,TILENE,23-May-06,175,225.0
3107,SL,ST.LOUIS,ST.LOUIS,23-May-06,170,220.0
3108,KL,KAOLACK,KAOLACK,24-May-06,150,225.0
3109,KD,VELINGARA,DIAOBE,24-May-06,175,225.0
3110,DL,DIOURBEL,DIOURBEL,25-May-06,165,200.0
3111,LG,LOUGA,LOUGA,25-May-06,160,240.0
3112,TH,THIES,THIES,25-May-06,165,220.0
3113,DL,MBACKE,TOUBA,26-May-06,160,200.0
3114,TC,BAKEL,BAKEL,29-May-06,200,250.0
3115,DK,PIKINE,THIAROYE,30-May-06,175,225.0
3116,DK,DAKAR,TILENE,30-May-06,175,225.0
3117,SL,ST.LOUIS,ST.LOUIS,30-May-06,170,220.0
3118,FK,FATICK,FATICK,31-May-06,160,200.0
3119,DL,DIOURBEL,DIOURBEL,01-Jun-06,165,200.0
3120,KL,KAOLACK,KAOLACK,01-Jun-06,155,225.0
3121,LG,LOUGA,LOUGA,01-Jun-06,175,240.0
3122,TH,THIES,THIES,01-Jun-06,165,200.0
3123,ZG,ZIGUINCHOR,ST.MAUR,01-Jun-06,175,235.0
3124,DL,MBACKE,TOUBA,02-Jun-06,160,200.0
3125,FK,FATICK,FATICK,04-Jun-06,160,225.0
3126,TC,BAKEL,BAKEL,05-Jun-06,200,225.0
3127,KD,KOLDA,KOLDA,06-Jun-06,200,250.0
3128,DK,PIKINE,THIAROYE,07-Jun-06,175,225.0
3129,TH,THIES,THIES,07-Jun-06,165,225.0
3130,DK,DAKAR,TILENE,07-Jun-06,175,225.0
3131,SL,ST.LOUIS,ST.LOUIS,07-Jun-06,170,300.0
3132,KL,KAOLACK,KAOLACK,08-Jun-06,160,225.0
3133,LG,LOUGA,LOUGA,08-Jun-06,175,240.0
3134,ZG,ZIGUINCHOR,ST.MAUR,08-Jun-06,175,235.0
3135,DL,DIOURBEL,DIOURBEL,09-Jun-06,165,200.0
3136,DL,MBACKE,TOUBA,09-Jun-06,160,200.0
3137,FK,FATICK,FATICK,11-Jun-06,160,225.0
3138,KD,KOLDA,KOLDA,11-Jun-06,200,250.0
3139,DL,DIOURBEL,DIOURBEL,13-Jun-06,165,200.0
3140,DK,PIKINE,THIAROYE,14-Jun-06,175,225.0
3141,DK,DAKAR,TILENE,14-Jun-06,175,225.0
3142,SL,ST.LOUIS,ST.LOUIS,14-Jun-06,180,220.0
3143,KD,VELINGARA,DIAOBE,14-Jun-06,200,250.0
3144,KL,KAOLACK,KAOLACK,15-Jun-06,150,225.0
3145,LG,LOUGA,LOUGA,15-Jun-06,180,240.0
3146,TH,THIES,THIES,15-Jun-06,165,200.0
3147,DL,MBACKE,TOUBA,16-Jun-06,160,200.0
3148,TC,BAKEL,BAKEL,18-Jun-06,225,225.0
3149,FK,FATICK,FATICK,18-Jun-06,160,210.0
3150,KD,KOLDA,KOLDA,18-Jun-06,175,250.0
3151,DK,PIKINE,THIAROYE,21-Jun-06,175,225.0
3152,TH,THIES,THIES,21-Jun-06,165,200.0
3153,DK,DAKAR,TILENE,21-Jun-06,175,225.0
3154,SL,ST.LOUIS,ST.LOUIS,21-Jun-06,180,220.0
3155,DL,DIOURBEL,DIOURBEL,22-Jun-06,165,200.0
3156,KL,KAOLACK,KAOLACK,22-Jun-06,150,225.0
3157,LG,LOUGA,LOUGA,22-Jun-06,180,240.0
3158,ZG,ZIGUINCHOR,ST.MAUR,22-Jun-06,175,235.0
3159,DL,MBACKE,TOUBA,23-Jun-06,140,200.0
3160,TC,BAKEL,BAKEL,26-Jun-06,225,225.0
3161,KD,KOLDA,KOLDA,26-Jun-06,175,220.0
3162,SL,ST.LOUIS,ST.LOUIS,27-Jun-06,180,220.0
3163,FK,FATICK,FATICK,28-Jun-06,175,210.0
3164,DK,PIKINE,THIAROYE,28-Jun-06,175,225.0
3165,DK,DAKAR,TILENE,28-Jun-06,175,225.0
3166,DL,DIOURBEL,DIOURBEL,29-Jun-06,145,200.0
3167,KL,KAOLACK,KAOLACK,29-Jun-06,150,225.0
3168,LG,LOUGA,LOUGA,29-Jun-06,180,240.0
3169,ZG,ZIGUINCHOR,ST.MAUR,29-Jun-06,175,235.0
3170,DL,MBACKE,TOUBA,30-Jun-06,145,200.0
3171,FK,FATICK,FATICK,02-Jul-06,160,210.0
3172,DK,PIKINE,THIAROYE,05-Jul-06,175,225.0
3173,DK,DAKAR,TILENE,05-Jul-06,175,225.0
3174,DL,DIOURBEL,DIOURBEL,06-Jul-06,145,200.0
3175,KL,KAOLACK,KAOLACK,06-Jul-06,150,225.0
3176,LG,LOUGA,LOUGA,06-Jul-06,180,240.0
3177,SL,ST.LOUIS,ST.LOUIS,06-Jul-06,180,225.0
3178,ZG,ZIGUINCHOR,ST.MAUR,06-Jul-06,175,235.0
3179,DL,MBACKE,TOUBA,07-Jul-06,145,200.0
3180,FK,FATICK,FATICK,09-Jul-06,165,210.0
3181,KD,KOLDA,KOLDA,10-Jul-06,175,220.0
3182,TC,BAKEL,BAKEL,11-Jul-06,200,200.0
3183,DK,PIKINE,THIAROYE,12-Jul-06,175,225.0
3184,TH,THIES,THIES,12-Jul-06,165,200.0
3185,DK,DAKAR,TILENE,12-Jul-06,175,225.0
3186,SL,ST.LOUIS,ST.LOUIS,12-Jul-06,180,220.0
3187,SL,ST.LOUIS,ST.LOUIS,12-Jul-06,180,225.0
3188,KD,VELINGARA,DIAOBE,12-Jul-06,200,250.0
3189,DL,DIOURBEL,DIOURBEL,13-Jul-06,145,200.0
3190,KL,KAOLACK,KAOLACK,13-Jul-06,150,225.0
3191,LG,LOUGA,LOUGA,13-Jul-06,170,240.0
3192,ZG,ZIGUINCHOR,ST.MAUR,13-Jul-06,185,235.0
3193,DL,MBACKE,TOUBA,14-Jul-06,145,200.0
3194,FK,FATICK,FATICK,17-Jul-06,165,225.0
3195,KD,KOLDA,KOLDA,17-Jul-06,200,250.0
3196,TC,BAKEL,BAKEL,18-Jul-06,200,225.0
3197,DK,PIKINE,THIAROYE,19-Jul-06,175,225.0
3198,TH,THIES,THIES,19-Jul-06,170,200.0
3199,DK,DAKAR,TILENE,19-Jul-06,175,225.0
3200,DL,DIOURBEL,DIOURBEL,20-Jul-06,145,200.0
3201,KL,KAOLACK,KAOLACK,20-Jul-06,145,225.0
3202,LG,LOUGA,LOUGA,20-Jul-06,170,240.0
3203,ZG,ZIGUINCHOR,ST.MAUR,20-Jul-06,175,235.0
3204,DL,MBACKE,TOUBA,21-Jul-06,145,200.0
3205,FK,FATICK,FATICK,23-Jul-06,165,210.0
3206,TC,BAKEL,BAKEL,24-Jul-06,225,225.0
3207,DK,PIKINE,THIAROYE,26-Jul-06,175,225.0
3208,TH,THIES,THIES,26-Jul-06,170,200.0
3209,DK,DAKAR,TILENE,26-Jul-06,175,225.0
3210,SL,ST.LOUIS,ST.LOUIS,26-Jul-06,180,225.0
3211,DL,DIOURBEL,DIOURBEL,27-Jul-06,145,200.0
3212,KL,KAOLACK,KAOLACK,27-Jul-06,140,225.0
3213,LG,LOUGA,LOUGA,27-Jul-06,170,240.0
3214,ZG,ZIGUINCHOR,ST.MAUR,27-Jul-06,180,230.0
3215,FK,FATICK,FATICK,31-Jul-06,165,210.0
3216,DL,MBACKE,TOUBA,04-Aug-06,150,200.0
3217,FK,FATICK,FATICK,06-Aug-06,165,225.0
3218,TC,BAKEL,BAKEL,07-Aug-06,200,250.0
3219,KD,KOLDA,KOLDA,07-Aug-06,175,220.0
3220,DK,PIKINE,THIAROYE,09-Aug-06,175,225.0
3221,TH,THIES,THIES,09-Aug-06,180,200.0
3222,DK,DAKAR,TILENE,09-Aug-06,175,225.0
3223,SL,ST.LOUIS,ST.LOUIS,09-Aug-06,185,220.0
3224,DL,DIOURBEL,DIOURBEL,10-Aug-06,160,200.0
3225,KL,KAOLACK,KAOLACK,10-Aug-06,150,275.0
3226,LG,LOUGA,LOUGA,10-Aug-06,180,240.0
3227,ZG,ZIGUINCHOR,ST.MAUR,10-Aug-06,175,235.0
3228,DL,DIOURBEL,DIOURBEL,11-Aug-06,160,200.0
3229,DL,MBACKE,TOUBA,11-Aug-06,150,200.0
3230,TC,BAKEL,BAKEL,15-Aug-06,200,250.0
3231,TH,THIES,THIES,16-Aug-06,180,200.0
3232,SL,ST.LOUIS,ST.LOUIS,16-Aug-06,180,225.0
3233,KD,VELINGARA,DIAOBE,16-Aug-06,200,220.0
3234,FK,FATICK,FATICK,17-Aug-06,165,210.0
3235,KL,KAOLACK,KAOLACK,17-Aug-06,160,225.0
3236,LG,LOUGA,LOUGA,17-Aug-06,170,240.0
3237,DK,PIKINE,THIAROYE,17-Aug-06,180,225.0
3238,DK,DAKAR,TILENE,17-Aug-06,180,225.0
3239,ZG,ZIGUINCHOR,ST.MAUR,17-Aug-06,175,235.0
3240,DL,MBACKE,TOUBA,18-Aug-06,155,200.0
3241,FK,FATICK,FATICK,23-Aug-06,150,200.0
3242,TH,THIES,THIES,23-Aug-06,180,200.0
3243,SL,ST.LOUIS,ST.LOUIS,23-Aug-06,180,225.0
3244,TC,BAKEL,BAKEL,24-Aug-06,225,225.0
3245,DL,DIOURBEL,DIOURBEL,24-Aug-06,160,200.0
3246,KL,KAOLACK,KAOLACK,24-Aug-06,160,225.0
3247,LG,LOUGA,LOUGA,24-Aug-06,185,220.0
3248,DK,PIKINE,THIAROYE,24-Aug-06,180,225.0
3249,DK,DAKAR,TILENE,24-Aug-06,180,225.0
3250,ZG,ZIGUINCHOR,ST.MAUR,24-Aug-06,200,235.0
3251,DL,MBACKE,TOUBA,25-Aug-06,160,200.0
3252,FK,FATICK,FATICK,28-Aug-06,155,200.0
3253,SL,ST.LOUIS,ST.LOUIS,29-Aug-06,180,185.0
3254,DL,DIOURBEL,DIOURBEL,31-Aug-06,160,200.0
3255,KL,KAOLACK,KAOLACK,31-Aug-06,160,225.0
3256,LG,LOUGA,LOUGA,31-Aug-06,170,240.0
3257,DK,PIKINE,THIAROYE,31-Aug-06,180,225.0
3258,DK,DAKAR,TILENE,31-Aug-06,180,225.0
3259,DL,MBACKE,TOUBA,01-Sep-06,155,200.0
3260,FK,FATICK,FATICK,04-Sep-06,150,200.0
3261,KD,VELINGARA,DIAOBE,05-Sep-06,200,220.0
3262,TC,BAKEL,BAKEL,06-Sep-06,225,260.0
