system:index,Date,FracFlooded,Name,.geo
0_132,1_2004_11_16,0.03229853214850478,Kolda,
0_133,1_2004_11_24,0.03297227005571795,Kolda,
0_134,1_2004_12_02,0.03386879703608441,Kolda,
0_135,1_2004_12_10,0.03441385591339591,Kolda,
0_136,1_2004_12_18,0.035462622778959715,Kolda,
0_137,1_2004_12_26,0.03615927967299913,Kolda,
0_138,1_2005_01_01,5.448662585312042E-4,Kolda,
0_139,1_2005_01_09,0.0010787084516142827,Kolda,
0_140,1_2005_01_17,0.002191510396452588,Kolda,
0_141,1_2005_01_25,0.0028894510292774445,Kolda,
0_142,1_2005_02_02,0.00378533613932714,Kolda,
0_143,1_2005_02_10,0.004084178466116128,Kolda,
0_144,1_2005_02_18,0.0053781990860494715,Kolda,
0_145,1_2005_02_26,0.006023608128277498,Kolda,
0_146,1_2005_03_06,0.006960311895963139,Kolda,
0_147,1_2005_03_14,0.007670286387583705,Kolda,
0_148,1_2005_03_22,0.008560171501391232,Kolda,
0_149,1_2005_03_30,0.009263751083188774,Kolda,
0_150,1_2005_04_07,0.010114774291487412,Kolda,
0_151,1_2005_04_15,0.010823202686898507,Kolda,
0_152,1_2005_04_23,0.011697696321653657,Kolda,
0_153,1_2005_05_01,0.012448927616377215,Kolda,
0_154,1_2005_05_09,0.013490852569216727,Kolda,
0_155,1_2005_05_17,0.013662590121731098,Kolda,
0_156,1_2005_05_25,0.014942677972612778,Kolda,
0_157,1_2005_06_02,0.015240958666237911,Kolda,
0_158,1_2005_06_10,0.016367319222683092,Kolda,
0_159,1_2005_06_18,0.016860539312090733,Kolda,
0_160,1_2005_06_26,0.0177937451547406,Kolda,
0_161,1_2005_07_04,0.0188340112369397,Kolda,
0_162,1_2005_07_12,0.019713669518147084,Kolda,
0_163,1_2005_07_20,0.02050640315629019,Kolda,
0_164,1_2005_07_28,0.021031098228159874,Kolda,
0_165,1_2005_08_05,0.021951967652111062,Kolda,
0_166,1_2005_08_13,0.022755962978435067,Kolda,
0_167,1_2005_08_21,0.023608543816329087,Kolda,
0_168,1_2005_08_29,0.024151873091033536,Kolda,
0_169,1_2005_09_06,0.025401597777063276,Kolda,
0_170,1_2005_09_14,0.026098896539570864,Kolda,
