,SRV_ndvi,Casamance_ndvi,OrientalAndSineSaloum_ndvi,SRV_precip,Casamance_precip,OrientalAndSineSaloum_precip
2008-01-01,1878.1238287614678,4229.480724484434,2701.44529478637,0.00023831830214597914,0.00028650103972903255,0.00024513322681150314
2008-02-01,1863.1896552178614,3239.0835000325915,2435.203805087176,0.011261008234434374,0.0011971393271058537,0.0014280214558812113
2008-03-01,1737.8725592804167,3109.1390108502146,2303.628755982021,0.00036140078974981476,0.0002701357328983224,0.0007085669232690111
2008-04-01,1597.8536728597621,3081.6295166577,2278.705356330664,0.0005279327227798175,0.001012697000187326,0.00219672615710297
2008-05-01,1633.2434916384786,3509.6948824070614,2603.6716494255006,0.0020375230303315817,0.010252987036795927,0.023159440391114006
2008-06-01,1650.307355262242,4525.720931700351,3824.417699195254,0.03737770554779653,0.22711445058549987,0.17146238667318983
2008-07-01,2262.652713847781,5551.736626270696,5650.540934306597,0.09893765296265551,0.4243786752885805,0.2642373444448778
2008-08-01,3056.387971414988,6116.89892884051,6040.050540221693,0.15135650562221128,0.5277288942733976,0.35993712419045565
2008-09-01,2869.585097305471,7012.658941616928,6631.926662377799,0.09701125460522349,0.40514406362083055,0.285176759640371
2008-10-01,2232.4121283136537,6805.183810978324,5271.921600249106,0.015433633137915058,0.15603070023341553,0.10685581393979021
2008-11-01,2085.5984344114304,5877.681106483387,3995.5710230347026,0.00022816615225850745,0.003384283202064844,0.0012226696414528004
2008-12-01,1975.824070942774,5114.654978681341,3423.5486382337585,0.00015956259133232341,0.00034551062166410625,0.0005410180409403636
2009-01-01,1860.3786235437751,4464.162336698764,2987.5649170448296,0.0011987165190173934,0.0002095742159394644,0.00016441417553576508
2009-02-01,1779.5131689581951,3376.5497270907163,2579.6606166755373,0.00019176278984453583,0.00011748615091146432,0.0007423085175360997
2009-03-01,1782.111750020978,3267.866019818248,2550.131217821304,0.0020901605156901227,0.00025195089410900973,0.0005311342937300433
2009-04-01,1722.3523840952548,3337.6234009268424,2513.3994996801166,0.0011329656802963094,0.00019840443251669735,0.0008434846908288165
2009-05-01,1641.9282388377856,3522.9022304934206,2641.6812077401164,0.003430817945945651,0.012352673484521154,0.02741420782972869
2009-06-01,1691.0387076925194,4348.1568266795475,3310.4668038022664,0.04229448620939506,0.13529622100781266,0.11801361452909924
2009-07-01,2335.0927301484244,5740.266736581485,5208.764744837339,0.1246870705239104,0.2866016299669525,0.2396414584628828
2009-08-01,3544.859046869282,5874.380680364789,6209.707934852768,0.2592562300223501,0.6316493615401718,0.4173343703362456
2009-09-01,3230.261588485577,6989.7816445288045,6631.865034755016,0.16468074135715677,0.42737110844572873,0.3636522668247457
2009-10-01,2564.3821685974876,7183.860932771232,5953.898657867052,0.007874205300647223,0.07717989374064446,0.04780166475943829
2009-11-01,2282.809224811875,6390.032694279644,4758.373046471654,0.0018869873127916861,0.015530668636914883,0.0028016291526125384
2009-12-01,2199.9854599881123,5169.158389453447,3611.6725478412936,0.0012741953579110466,0.0008431626230014032,0.0007883642083959425
2010-01-01,2026.3311304915892,4373.687403555147,3007.3819831756027,0.0003391697292372968,0.0003392383754589049,0.00026247079977528235
2010-02-01,1951.7702837424777,3590.319467918888,2670.9695753550645,5.155757828867077e-05,0.00037442865480592964,0.00015390222216636498
2010-03-01,1765.5840137027183,3092.8061501261786,2403.0668417468405,0.0012526837304638512,0.00026242168460166045,0.0004112358726581373
2010-04-01,1759.4166333580683,3301.633312433778,2574.5291371147105,0.0013162472634054452,0.00032817325860130575,0.0037705162390888982
2010-05-01,1679.8745061224508,3458.3705742614434,2708.4747991325016,0.0015254003489719686,0.02838546153610445,0.031558226299710036
2010-06-01,1764.9763345211543,4231.929469674067,3716.7690904216215,0.04142905760084936,0.18989920149695783,0.17588687944606055
2010-07-01,2879.2146025051493,5875.411793303561,5667.6644155938375,0.1330628132708792,0.4233317414118522,0.3424035261984583
2010-08-01,4337.152787599882,6065.003595576308,6055.6803105724075,0.2089707003631763,0.4237020110064403,0.29958944340495036
2010-09-01,4092.957892923181,7391.688497894415,6841.404270335102,0.34540629354915464,0.561806889427557,0.458219432056794
2010-10-01,3245.173506683084,7115.4437004643805,5915.126788984744,0.05111904284115386,0.12536931923634478,0.09164737901737133
2010-11-01,2768.2411644930426,6199.104877884578,4681.837063870052,0.002369149449891345,0.005523094645651225,0.0023912290177007705
2010-12-01,2448.090446120961,5401.220447279653,3800.0696836181633,0.00039013419132436633,0.0003787793625280211,0.00034761115393552454
2011-01-01,2208.498256384246,4457.491561580681,3108.468091412702,0.0002854486248424085,0.00026380344307287424,0.0002133903551419224
2011-02-01,2076.9931444442655,3574.182925729124,2688.972776636116,0.0001027990953689376,0.00012414901576626472,0.0006679269031142105
2011-03-01,1948.627589880861,3240.4173442731076,2553.309463761375,0.0011941242949367375,0.00031618268137100316,0.0015003235517503698
2011-04-01,1894.6693743226765,3456.08663957511,2641.6290696192764,0.0003681970423479297,0.00016645803833021316,0.0011228812504983105
2011-05-01,1891.8014307202093,3871.1835913229693,2852.3394319887097,0.0008601429710058138,0.012806590204731872,0.011052874476653717
2011-06-01,1940.2337307229664,4713.762386722175,3507.996536982889,0.019190244172433656,0.11831664954004793,0.09928226350499958
