system:index,Date,Name,precip,.geo
0_20_2,03_01_2020,Kaffrine,8.963448781645206E-5,
0_20_3,04_01_2020,Kaffrine,0.030405865543455195,
0_20_4,05_01_2020,Kaffrine,0.9656066883963849,
0_20_5,06_01_2020,Kaffrine,40.417915433217104,
0_20_6,07_01_2020,Kaffrine,215.15140625832478,
0_20_7,08_01_2020,Kaffrine,134.6977885815592,
0_20_8,09_01_2020,Kaffrine,262.08669094991336,
0_20_9,10_01_2020,Kaffrine,49.265963479980385,
0_20_10,11_01_2020,Kaffrine,0.21549584418876458,
0_20_11,12_01_2020,Kaffrine,0.7435515159995183,
1_0_0,01_01_2000,Kaolack,0.3982895914569529,
1_0_1,02_01_2000,Kaolack,0.029209770035592473,
1_0_2,03_01_2000,Kaolack,0.0,
1_0_3,04_01_2000,Kaolack,0.030112123557037376,
1_0_4,05_01_2000,Kaolack,0.07412905702916536,
1_0_5,06_01_2000,Kaolack,57.685700043824596,
1_0_6,07_01_2000,Kaolack,174.81712771232688,
1_0_7,08_01_2000,Kaolack,188.79799382127962,
1_0_8,09_01_2000,Kaolack,179.6561851499232,
1_0_9,10_01_2000,Kaolack,63.94429499612836,
1_0_10,11_01_2000,Kaolack,1.0730982212531872,
1_0_11,12_01_2000,Kaolack,0.9163541840812214,
1_1_0,01_01_2001,Kaolack,0.3608848169433867,
1_1_1,02_01_2001,Kaolack,0.05710615778102006,
1_1_2,03_01_2001,Kaolack,0.0022541456529314324,
1_1_3,04_01_2001,Kaolack,2.921287149719493E-6,
1_1_4,05_01_2001,Kaolack,0.0013213236802209008,
1_1_5,06_01_2001,Kaolack,73.03999782690785,
1_1_6,07_01_2001,Kaolack,169.39276329346424,
1_1_7,08_01_2001,Kaolack,197.6607978279315,
1_1_8,09_01_2001,Kaolack,142.16298903606358,
1_1_9,10_01_2001,Kaolack,35.04320999341713,
1_1_10,11_01_2001,Kaolack,2.0258666734686446,
1_1_11,12_01_2001,Kaolack,0.9771183111610438,
1_2_0,01_01_2002,Kaolack,0.7599138962231603,
1_2_1,02_01_2002,Kaolack,0.08151374261114072,
1_2_2,03_01_2002,Kaolack,6.044751901015063E-4,
1_2_3,04_01_2002,Kaolack,0.033252504945586354,
1_2_4,05_01_2002,Kaolack,0.0,
1_2_5,06_01_2002,Kaolack,46.071286734176,
1_2_6,07_01_2002,Kaolack,126.21811971629555,
1_2_7,08_01_2002,Kaolack,210.16877294266482,
1_2_8,09_01_2002,Kaolack,147.31822442933995,
1_2_9,10_01_2002,Kaolack,66.61660741487178,
1_2_10,11_01_2002,Kaolack,0.7936013191420701,
